🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#

CCTV1HD,http://106.120.14.12:2333/udp/225.1.8.1:8008
CCTV2HD,http://106.120.14.12:2333/udp/225.1.8.2:8084
CCTV3HD,http://106.120.14.12:2333/udp/225.1.8.88:8000
CCTV4HD,http://106.120.14.12:2333/udp/225.1.8.4:8092
CCTV5HD,http://106.120.14.12:2333/udp/225.1.8.89:8000
CCTV5⁺HD,http://106.120.14.12:2333/udp/225.1.8.20:8004
CCTV6HD,http://106.120.14.12:2333/udp/225.1.8.84:8000
CCTV7HD,http://106.120.14.12:2333/udp/225.1.8.7:8104
CCTV8HD,http://106.120.14.12:2333/udp/225.1.8.85:8000
CCTV9HD,http://106.120.14.12:2333/udp/225.1.8.9:8112
CCTV10HD,http://106.120.14.12:2333/udp/225.1.8.10:8116
CCTV11HD,http://106.120.14.12:2333/udp/225.1.8.73:8120
CCTV12HD,http://106.120.14.12:2333/udp/225.1.8.12:8124
CCTV13HD,http://106.120.14.12:2333/udp/225.1.8.168:8130
CCTV14HD,http://106.120.14.12:2333/udp/225.1.8.14:8132
CCTV15HD,http://106.120.14.12:2333/udp/225.1.8.74:8136
CETV1,http://106.120.14.12:2333/udp/225.1.8.32:8152
CCTV17HD,http://106.120.14.12:2333/udp/225.1.8.17:8144







🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#


CCTV1HD,http://106.120.14.12:2333/udp/225.1.8.1:8008
CCTV2HD,http://106.120.14.12:2333/udp/225.1.8.2:8084
CCTV3HD,http://106.120.14.12:2333/udp/225.1.8.88:8000
CCTV4HD,http://106.120.14.12:2333/udp/225.1.8.4:8092
CCTV5HD,http://106.120.14.12:2333/udp/225.1.8.89:8000
CCTV5⁺HD,http://106.120.14.12:2333/udp/225.1.8.20:8004
CCTV6HD,http://106.120.14.12:2333/udp/225.1.8.84:8000
CCTV7HD,http://106.120.14.12:2333/udp/225.1.8.7:8104
CCTV8HD,http://106.120.14.12:2333/udp/225.1.8.85:8000
CCTV9HD,http://106.120.14.12:2333/udp/225.1.8.9:8112
CCTV10HD,http://106.120.14.12:2333/udp/225.1.8.10:8116
CCTV11HD,http://106.120.14.12:2333/udp/225.1.8.73:8120
CCTV12HD,http://106.120.14.12:2333/udp/225.1.8.12:8124
CCTV13HD,http://106.120.14.12:2333/udp/225.1.8.168:8130
CCTV14HD,http://106.120.14.12:2333/udp/225.1.8.14:8132
CCTV15HD,http://106.120.14.12:2333/udp/225.1.8.74:8136
CETV1,http://106.120.14.12:2333/udp/225.1.8.32:8152
CCTV17HD,http://106.120.14.12:2333/udp/225.1.8.17:8144







🇨🇳🇨🇳卫视IPV6🇨🇳🇨🇳,#genre#



湖南卫视,http://106.120.14.12:2333/udp/225.1.8.132:8064
浙江卫视,http://106.120.14.12:2333/udp/225.1.8.133:8284
江苏卫视,http://106.120.14.12:2333/udp/225.1.8.134:8276
安徽卫视,http://106.120.14.12:2333/udp/225.1.8.135:8272
天津卫视,http://106.120.14.12:2333/udp/225.1.8.136:8144
辽宁卫视,http://106.120.14.12:2333/udp/225.1.8.137:8116
山东卫视,http://106.120.14.12:2333/udp/225.1.8.138:8148
云南卫视,http://106.120.14.12:2333/udp/225.1.8.139:8108
河南卫视,http://106.120.14.12:2333/udp/225.1.8.140:8128
黑龙江卫视,http://106.120.14.12:2333/udp/225.1.8.141:8196
四川卫视,http://106.120.14.12:2333/udp/225.1.8.142:8288
江西卫视,http://106.120.14.12:2333/udp/225.1.8.143:8280
贵州卫视,http://106.120.14.12:2333/udp/225.1.8.144:8120
深圳卫视,http://106.120.14.12:2333/udp/225.1.8.145:9244
湖北卫视,http://106.120.14.12:2333/udp/225.1.8.146:8136
东方卫视,http://106.120.14.12:2333/udp/225.1.8.147:8192
重庆卫视,http://106.120.14.12:2333/udp/225.1.8.148:8296
东南卫视,http://106.120.14.12:2333/udp/225.1.8.149:8112
河北卫视,http://106.120.14.12:2333/udp/225.1.8.150:8292
广东卫视,http://106.120.14.12:2333/udp/225.1.8.151:8132
南方卫视,http://106.120.14.12:2333/udp/225.1.8.225:5008
广西卫视,http://106.120.14.12:2333/udp/225.1.8.152:8300
吉林卫视,http://106.120.14.12:2333/udp/225.1.8.153:8200
陕西卫视,http://106.120.14.12:2333/udp/225.1.8.154:8140
山西卫视,http://106.120.14.12:2333/udp/225.1.8.155:8172
内蒙古卫视,http://106.120.14.12:2333/udp/225.1.8.156:8176
青海卫视,http://106.120.14.12:2333/udp/225.1.8.157:8184
海南卫视,http://106.120.14.12:2333/udp/225.1.8.158:8304
宁夏卫视,http://106.120.14.12:2333/udp/225.1.8.159:8124
西藏卫视,http://106.120.14.12:2333/udp/225.1.8.160:8164
新疆卫视,http://106.120.14.12:2333/udp/225.1.8.161:8160
甘肃卫视,http://106.120.14.12:2333/udp/225.1.8.162:8188
厦门卫视,http://106.120.14.12:2333/udp/225.1.8.166:4120
兵团卫视,http://106.120.14.12:2333/udp/225.1.8.167:4120
