

🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#


CCTV1HD,http://59.175.155.114:8899/rtp/239.254.96.96:8550
CCTV2HD,http://59.175.155.114:8899/rtp/239.69.1.102:10250
CCTV3HD,http://59.175.155.114:8899/rtp/239.69.1.122:10370
CCTV4HD,http://59.175.155.114:8899/rtp/239.69.1.138:10466
CCTV5HD,http://59.175.155.114:8899/rtp/239.69.1.123:10376
CCTV6HD,http://59.175.155.114:8899/rtp/239.69.1.124:10382
CCTV7HD,http://59.175.155.114:8899/rtp/239.69.1.103:10256
CCTV8HD,http://59.175.155.114:8899/rtp/239.69.1.125:10388
CCTV9HD,http://59.175.155.114:8899/rtp/239.69.1.104:10262
CCTV10HD,http://59.175.155.114:8899/rtp/239.69.1.105:10268
CCTV11HD,http://59.175.155.114:8899/rtp/239.69.1.154:10560
CCTV12HD,http://59.175.155.114:8899/rtp/239.69.1.106:10274
CCTV13HD,http://59.175.155.114:8899/rtp/239.254.96.161:9040
CCTV14HD,http://59.175.155.114:8899/rtp/239.69.1.107:10280
CCTV15HD,http://59.175.155.114:8899/rtp/239.69.1.155:10566
CCTV16HD,http://59.175.155.114:8899/rtp/239.69.1.247:11124
CCTV17HD,http://59.175.155.114:8899/rtp/239.69.1.152:10548
CCTV5+HD,http://59.175.155.114:8899/rtp/239.254.96.234:9484

CHC影迷电影HD,http://59.175.155.114:8899/rtp/239.69.1.241:11088
CHC家庭影院HD,http://59.175.155.114:8899/rtp/239.69.1.243:11100
CHC动作电影HD,http://59.175.155.114:8899/rtp/239.69.1.242:11094

湖北综合HD,http://59.175.155.114:8899/rtp/239.69.1.42:9892
湖北公共新闻HD,http://59.175.155.114:8899/rtp/239.69.1.40:9880
湖北垄上HD,http://59.175.155.114:8899/rtp/239.69.1.43:9898
湖北影视HD,http://59.175.155.114:8899/rtp/239.69.1.204:10866
湖北教育HD,http://59.175.155.114:8899/rtp/239.69.1.206:10878
湖北生活HD,http://59.175.155.114:8899/rtp/239.69.1.205:10872
湖北经视HD,http://59.175.155.114:8899/rtp/239.69.1.41:9886

武汉综合HD,http://59.175.155.114:8899/rtp/239.69.1.145:10506
武汉教育HD,http://59.175.155.114:8899/rtp/239.69.1.60:9994
武汉文体HD,http://59.175.155.114:8899/rtp/239.69.1.147:10518
武汉电视剧HD,http://59.175.155.114:8899/rtp/239.69.1.146:10512
武汉科技生活HD,http://59.175.155.114:8899/rtp/239.69.1.251:11148
蔡甸综合HD,http://59.175.155.114:8899/rtp/239.69.1.245:11112
房县综合HD,http://59.175.155.114:8899/rtp/239.69.1.192:10794
阳新综合HD,http://59.175.155.114:8899/rtp/239.69.1.34:9844

凤凰中文台HD,http://59.175.155.114:8899/rtp/239.69.2.20:11274
凤凰资讯台HD,http://59.175.155.114:8899/rtp/239.69.2.19:11268

深圳卫视HD,http://59.175.155.114:8899/rtp/239.254.96.137:8896
湖南卫视HD,http://59.175.155.114:8899/rtp/239.254.96.139:8908
武术世界HD,http://59.175.155.114:8899/rtp/239.69.1.47:9922
河南卫视HD,http://59.175.155.114:8899/rtp/239.69.1.168:10644

