
🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#



CCTV1 HD,http://112.66.143.196:8888/rtp/239.253.64.120:5140
CCTV1,http://112.66.143.196:8888/rtp/239.253.64.12:5140
CCTV2 HD,http://112.66.143.196:8888/rtp/239.253.64.195:5140
CCTV2,http://112.66.143.196:8888/rtp/239.253.64.13:5140
CCTV3 HD,http://112.66.143.196:8888/rtp/239.253.64.244:5140
CCTV4 HD,http://112.66.143.196:8888/rtp/239.253.64.196:5140
CCTV4HD,http://112.66.143.196:8888/rtp/239.253.64.15:5140
CCTV5 HD,http://112.66.143.196:8888/rtp/239.253.64.245:5140
CCTV5+ HD,http://112.66.143.196:8888/rtp/239.253.64.100:5140
CCTV6 HD,http://112.66.143.196:8888/rtp/239.253.64.246:5140
CCTV7 HD,http://112.66.143.196:8888/rtp/239.253.64.54:5140
CCTV7HD,http://112.66.143.196:8888/rtp/239.253.64.16:5140
CCTV8 HD,http://112.66.143.196:8888/rtp/239.253.64.247:5140
CCTV9 HD,http://112.66.143.196:8888/rtp/239.253.64.76:5140
CCTV9HD,http://112.66.143.196:8888/rtp/239.253.64.242:5140
CCTV10 HD,http://112.66.143.196:8888/rtp/239.253.64.87:5140
CCTV10,http://112.66.143.196:8888/rtp/239.253.64.18:5140
CCTV11 HD,http://112.66.143.196:8888/rtp/239.253.64.70:5140
CCTV11HD,http://112.66.143.196:8888/rtp/239.253.64.19:5140
CCTV12 HD,http://112.66.143.196:8888/rtp/239.253.64.97:5140
CCTV12HD,http://112.66.143.196:8888/rtp/239.253.64.20:5140
CCTV13 HD,http://112.66.143.196:8888/rtp/239.253.64.59:5140
CCTV13HD,http://112.66.143.196:8888/rtp/239.253.64.21:5140
CCTV14 HD,http://112.66.143.196:8888/rtp/239.253.64.115:5140
CCTV14HD,http://112.66.143.196:8888/rtp/239.253.64.22:5140
CCTV15 HD,http://112.66.143.196:8888/rtp/239.253.64.72:5140
CCTV15HD,http://112.66.143.196:8888/rtp/239.253.64.23:5140
CCTV16 HD,http://112.66.143.196:8888/rtp/239.253.64.251:5140
CCTV17 HD,http://112.66.143.196:8888/rtp/239.253.64.67:5140
CCTV17HD,http://112.66.143.196:8888/rtp/239.253.64.53:5140


海南公共 HD,http://112.66.143.196:8888/rtp/239.253.64.14:5140
海南公共,http://112.66.143.196:8888/rtp/239.253.64.2:5140
海南少儿 HD,http://112.66.143.196:8888/rtp/239.253.64.124:5140
海南少儿,http://112.66.143.196:8888/rtp/239.253.64.4:5140
海南卫视 HD,http://112.66.143.196:8888/rtp/239.253.64.253:5140
海南文旅 HD,http://112.66.143.196:8888/rtp/239.253.64.122:5140
海南文旅,http://112.66.143.196:8888/rtp/239.253.64.3:5140
海南新闻 HD,http://112.66.143.196:8888/rtp/239.253.64.121:5140
海南新闻,http://112.66.143.196:8888/rtp/239.253.64.11:5140
海南自贸 HD,http://112.66.143.196:8888/rtp/239.253.64.119:5140
海南自贸,http://112.66.143.196:8888/rtp/239.253.64.1:5140
琼海TV,http://112.66.143.196:8888/rtp/239.253.64.106:5140
琼中TV,http://112.66.143.196:8888/rtp/239.253.64.165:5140
