


🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#




CCTV1,http://171.83.43.58:1234/rtp/239.254.96.96:8550
CCTV2,http://171.83.43.58:1234/rtp/239.69.1.102:10250
CCTV3,http://171.83.43.58:1234/rtp/239.69.1.122:10370
CCTV4,http://171.83.43.58:1234/rtp/239.69.1.138:10466
CCTV5,http://171.83.43.58:1234/rtp/239.69.1.123:10376
CCTV6,http://171.83.43.58:1234/rtp/239.69.1.124:10382
CCTV7,http://171.83.43.58:1234/rtp/239.69.1.103:10256
CCTV8,http://171.83.43.58:1234/rtp/239.69.1.125:10388
CCTV9,http://171.83.43.58:1234/rtp/239.69.1.104:10262
CCTV10,http://171.83.43.58:1234/rtp/239.69.1.105:10268
CCTV11,http://171.83.43.58:1234/rtp/239.69.1.154:10560
CCTV12,http://171.83.43.58:1234/rtp/239.69.1.106:10274
CCTV13,http://171.83.43.58:1234/rtp/239.254.96.161:9040
CCTV14,http://171.83.43.58:1234/rtp/239.69.1.107:10280
CCTV15,http://171.83.43.58:1234/rtp/239.69.1.155:10566
CCTV16,http://171.83.43.58:1234/rtp/239.69.1.247:11124
CCTV17,http://171.83.43.58:1234/rtp/239.69.1.152:10548
CCTV5+,http://171.83.43.58:1234/rtp/239.254.96.234:9484
CHC-影迷电影,http://171.83.43.58:1234/rtp/239.69.1.241:11088
CHC-动作电影,http://171.83.43.58:1234/rtp/239.69.1.242:11094
CHC-家庭影院,http://171.83.43.58:1234/rtp/239.69.1.243:11100

湖北综合,http://171.83.43.58:1234/rtp/239.69.1.42:9892
湖北公共新闻,http://171.83.43.58:1234/rtp/239.69.1.40:9880
湖北生活,http://171.83.43.58:1234/rtp/239.69.1.205:10872
湖北经视,http://171.83.43.58:1234/rtp/239.69.1.41:9886
湖北教育,http://171.83.43.58:1234/rtp/239.69.1.206:10878
湖北影视,http://171.83.43.58:1234/rtp/239.69.1.204:10866
湖北垄上,http://171.83.43.58:1234/rtp/239.69.1.43:9898

武汉一台新闻综合,http://171.83.43.58:1234/rtp/239.69.1.145:10506
武汉二台电视剧,http://171.83.43.58:1234/rtp/239.69.1.146:10512
武汉三台科技生活,http://171.83.43.58:1234/rtp/239.69.1.251:11148
武汉四台经济,http://171.83.43.58:1234/rtp/239.69.1.35:9850
武汉五台文体,http://171.83.43.58:1234/rtp/239.69.1.147:10518
武汉六台外语,http://171.83.43.58:1234/rtp/239.69.1.36:9856
武汉教育,http://171.83.43.58:1234/rtp/239.69.1.60:9994
蔡甸综合,http://171.83.43.58:1234/rtp/239.69.1.245:11112
阳新综合,http://171.83.43.58:1234/rtp/239.69.1.34:9844
房县综合,http://171.83.43.58:1234/rtp/239.69.1.192:10794



凤凰中文,http://119.6.178.40:4022/udp/239.93.0.162:2192
凤凰中文,http://119.6.178.40:4022/udp/239.93.1.9:2192
凤凰资讯,http://119.6.178.40:4022/udp/239.93.0.118:2191
凤凰资讯,http://119.6.178.40:4022/udp/239.93.1.4:2191
星空,http://119.6.178.40:4022/udp/239.93.0.156:2193
星空,http://119.6.178.40:4022/udp/239.93.1.10:2193
CHANNEL-V,http://119.6.178.40:4022/udp/239.93.0.157:2194
