山东10天组播


🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#




CCTV1,http://119.165.136.194:6666/udp/239.253.254.77:8000
CCTV2,http://119.165.136.194:6666/udp/239.253.254.232:8000
CCTV3,http://119.165.136.194:6666/udp/239.253.254.191:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.111:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.186:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.187:8000
CCTV5,http://119.165.136.194:6666/udp/239.253.254.192:8000
CCTV6,http://119.165.136.194:6666/udp/239.253.254.193:8000
CCTV7,http://119.165.136.194:6666/udp/239.253.254.233:8000
CCTV8,http://119.165.136.194:6666/udp/239.253.254.194:8000
CCTV9,http://119.165.136.194:6666/udp/239.253.254.79:8000
CCTV10,http://119.165.136.194:6666/udp/239.253.254.234:8000
CCTV11,http://119.165.136.194:6666/udp/239.253.254.169:8000
CCTV12,http://119.165.136.194:6666/udp/239.253.254.235:8000
CCTV13,http://119.165.136.194:6666/udp/239.253.254.175:8000
CCTV14,http://119.165.136.194:6666/udp/239.253.254.236:8000
CCTV15,http://119.165.136.194:6666/udp/239.253.254.170:8000
CCTV17,http://119.165.136.194:6666/udp/239.253.254.168:8000
CCTV5+,http://119.165.136.194:6666/udp/239.253.254.80:8000
CHC动作电影,http://119.165.136.194:6666/udp/239.253.254.153:8000
CHC高清电影,http://119.165.136.194:6666/udp/239.253.254.154:8000
CHC家庭影院,http://119.165.136.194:6666/udp/239.253.254.152:8000







🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#



CCTV1,http://119.165.136.194:6666/udp/239.253.254.77:8000
CCTV2,http://119.165.136.194:6666/udp/239.253.254.232:8000
CCTV3,http://119.165.136.194:6666/udp/239.253.254.191:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.111:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.186:8000
CCTV4,http://119.165.136.194:6666/udp/239.253.254.187:8000
CCTV5,http://119.165.136.194:6666/udp/239.253.254.192:8000
CCTV6,http://119.165.136.194:6666/udp/239.253.254.193:8000
CCTV7,http://119.165.136.194:6666/udp/239.253.254.233:8000
CCTV8,http://119.165.136.194:6666/udp/239.253.254.194:8000
CCTV9,http://119.165.136.194:6666/udp/239.253.254.79:8000
CCTV10,http://119.165.136.194:6666/udp/239.253.254.234:8000
CCTV11,http://119.165.136.194:6666/udp/239.253.254.169:8000
CCTV12,http://119.165.136.194:6666/udp/239.253.254.235:8000
CCTV13,http://119.165.136.194:6666/udp/239.253.254.175:8000
CCTV14,http://119.165.136.194:6666/udp/239.253.254.236:8000
CCTV15,http://119.165.136.194:6666/udp/239.253.254.170:8000
CCTV17,http://119.165.136.194:6666/udp/239.253.254.168:8000
CCTV5+,http://119.165.136.194:6666/udp/239.253.254.80:8000


CHC动作电影,http://119.165.136.194:6666/udp/239.253.254.153:8000
CHC高清电影,http://119.165.136.194:6666/udp/239.253.254.154:8000
CHC家庭影院,http://119.165.136.194:6666/udp/239.253.254.152:8000


山东教育,http://119.165.136.194:6666/udp/239.253.254.59:8000
