
🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#


CCTV1-HD,http://171.119.204.149:6001/rtp/226.0.2.153:9136
CCTV2-HD,http://171.119.204.149:6001/rtp/226.0.2.154:9144
CCTV3-HD,http://171.119.204.149:6001/rtp/226.0.2.208:9576
CCTV4-HD,http://171.119.204.149:6001/rtp/226.0.2.156:9160
CCTV6-HD,http://171.119.204.149:6001/rtp/226.0.2.210:9592
CCTV7-HD,http://171.119.204.149:6001/rtp/226.0.2.159:9184
CCTV8-HD,http://171.119.204.149:6001/rtp/226.0.2.211:9600
CCTV9-HD,http://171.119.204.149:6001/rtp/226.0.2.161:9200
CCTV10-HD,http://171.119.204.149:6001/rtp/226.0.2.162:9208
CCTV12-HD,http://171.119.204.149:6001/rtp/226.0.2.164:9224
CCTV13-HD,http://171.119.204.149:6001/rtp/226.0.2.165:9232
CCTV14-HD,http://171.119.204.149:6001/rtp/226.0.2.166:9240
CCTV16-HD,http://171.119.204.149:6001/rtp/226.0.2.169:9264
CCTV17-HD,http://171.119.204.149:6001/rtp/226.0.2.170:9272
CCTV1,http://171.119.204.149:6001/rtp/226.0.2.16:8040
CCTV1,http://171.119.204.149:6001/rtp/226.0.2.18:8056
CCTV2,http://171.119.204.149:6001/rtp/226.0.2.19:8064
CCTV3,http://171.119.204.149:6001/rtp/226.0.2.20:8072
CCTV4,http://171.119.204.149:6001/rtp/226.0.2.21:8080
CCTV5,http://171.119.204.149:6001/rtp/226.0.2.22:8088
CCTV6,http://171.119.204.149:6001/rtp/226.0.2.23:8096
CCTV7,http://171.119.204.149:6001/rtp/226.0.2.24:8104
CCTV8,http://171.119.204.149:6001/rtp/226.0.2.25:8112
CCTV9,http://171.119.204.149:6001/rtp/226.0.2.26:8120
CCTV10,http://171.119.204.149:6001/rtp/226.0.2.27:8128
CCTV11,http://171.119.204.149:6001/rtp/226.0.2.28:8136
CCTV12,http://171.119.204.149:6001/rtp/226.0.2.29:8144
CCTV13,http://171.119.204.149:6001/rtp/226.0.2.30:8152
CCTV14,http://171.119.204.149:6001/rtp/226.0.2.31:8160
CCTV15,http://171.119.204.149:6001/rtp/226.0.2.32:8168
CCTV17,http://171.119.204.149:6001/rtp/226.0.2.207:9568
CCTV5-HD,http://171.119.204.149:6001/rtp/226.0.2.209:9584
CCTV5-HD,http://171.119.204.149:6001/rtp/226.0.2.168:9256
CHC家庭影院,http://171.119.204.149:6001/rtp/226.0.2.240:9820
CHC高清电影,http://171.119.204.149:6001/rtp/226.0.2.93:8004
CHC动作电影,http://171.119.204.149:6001/rtp/226.0.2.94:8012



山西黄河HD,http://171.119.204.149:6001/rtp/226.0.2.235:9792
山西经济与科技HD,http://171.119.204.149:6001/rtp/226.0.2.236:9800
山西影视HD,http://171.119.204.149:6001/rtp/226.0.2.237:9808
山西社会与法治HD,http://171.119.204.149:6001/rtp/226.0.2.238:9816
山西文体生活HD,http://171.119.204.149:6001/rtp/226.0.2.16:8040
山西卫视,http://171.119.204.149:6001/rtp/226.0.2.11:8000
山西黄河,http://171.119.204.149:6001/rtp/226.0.2.12:8008
山西经济与科技,http://171.119.204.149:6001/rtp/226.0.2.13:8016
